name,link,monWT,tueWT,wedWT,thuWT,friWT,satWT,sunWT,avgBill,rating,rateAmount,adress,distMetro,metro,photoAmount,menuPositions,reviewsAmount
Ашан,https://yandex.com/maps/org/ashan/1055413108/,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,Круглосуточно,,4.7,11818,"Шереметьевская ул., 20, Москва",1,Марьина Роща,111,негры,3104
Ашан,https://yandex.ru/maps/org/ashan/68634134939/,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,,4.7,21169,"Рязанский просп., 2, корп. 2, Москва",12,Нижегородская,205,негры,5684
Азия,https://yandex.com/maps/org/asia/49689462319/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,490-1000,4.8,1569,"Новодмитровская ул., 1, стр. 2, Москва",340,Дмитровская,272,56,849
Asia city,https://yandex.com/maps/org/asia_city/137416278853/,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,,5.0,596,"ул. Камова, 3, корп. 1, микрорайон Зенино ЖК Самолёт, Люберцы",2,Некрасовка,166,118,323
Asia Gourmet,https://yandex.com/maps/org/asia_gourmet/55334617719/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,,4.2,54,"Смоленская площадь, 5, Москва",96,Смоленская,49,32,38
Asia mini,https://yandex.com/maps/org/asia_mini/154916420332/,,,,,,,,,,,"ул. Лавриненко, 11, корп. 1, Москва",1,Некрасовка,,40,
Asian street food,https://yandex.com/maps/org/asian_street_food/191193798644/,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,500,4.8,22,"Автозаводская ул., 18, Москва",930,ЗИЛ,25,53,21
Askaneli,https://yandex.com/maps/org/askaneli/126128575691/,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,12:00–00:00,2000,5.0,735,"Мясницкая ул., 13, стр. 3, Москва",380,Тургеневская,465,131,601
Assunta Madre,https://yandex.com/maps/org/assunta_madre/47464496972/,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,12:00–00:00,12:00–00:00,5000-7000,4.8,2706,"Поварская ул., 52/55с2, Москва",750,Баррикадная,408,78,1007
Atlantica,https://yandex.com/maps/org/atlantica/1187477091/,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,09:00–00:00,2500-3500,4.9,12609,"Кутузовский просп., 36А, Москва",550,Кутузовская,577,108,6554
Atlantica Bistro,https://yandex.ru/maps/org/atlantica_bistro/148873892568/,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,08:00–00:00,800-1500,5.0,5226,"Цветной бул., 11, стр. 2, Москва",202,Цветной бульвар,594,37,4222
Aurora,https://yandex.com/maps/org/aurora/1005141406/,07:00–11:00,07:00–11:00,07:00–11:00,07:00–11:00,07:00–11:00,07:00–11:00,07:00–11:00,3000-3000,4.4,220,"ул. Петровка, 11, Москва",580,Театральная,40,0,55
